oq,rvnm,stcd,stnm,tm,wptn,z
17300,长江干流,60106980,三峡水库,1718640000000,4,149.700
17300,长江干流,60106980,三峡水库,1718643600000,4,149.690
17300,14500,长江干流,60106980,三峡水库,1718647200000,4,149.660
17300,长江干流,60106980,三峡水库,1718650800000,4,149.650
17300,长江干流,60106980,三峡水库,1718654400000,6,149.650
17300,长江干流,60106980,三峡水库,1718658000000,4,149.610
17300,长江干流,60106980,三峡水库,1718661600000,6,149.610
17300,长江干流,60106980,三峡水库,1718665200000,4,149.600
17300,14500,长江干流,60106980,三峡水库,1718668800000,4,149.580
17300,长江干流,60106980,三峡水库,1718672400000,4,149.550
17300,长江干流,60106980,三峡水库,1718676000000,4,149.540
15800,长江干流,60106980,三峡水库,1718679600000,5,149.590
15800,长江干流,60106980,三峡水库,1718683200000,6,149.590
15700,长江干流,60106980,三峡水库,1718686800000,6,149.590
15800,14800,长江干流,60106980,三峡水库,1718690400000,5,149.600
15800,长江干流,60106980,三峡水库,1718694000000,6,149.600
16500,长江干流,60106980,三峡水库,1718697600000,4,149.580
17300,长江干流,60106980,三峡水库,1718701200000,4,149.550
17300,长江干流,60106980,三峡水库,1718704800000,4,149.520
17300,长江干流,60106980,三峡水库,1718708400000,4,149.490
17300,15000,长江干流,60106980,三峡水库,1718712000000,4,149.480
17300,长江干流,60106980,三峡水库,1718715600000,6,149.480
17300,长江干流,60106980,三峡水库,1718719200000,4,149.440
17300,长江干流,60106980,三峡水库,1718722800000,5,149.450
17400,长江干流,60106980,三峡水库,1718726400000,4,149.440
18200,长江干流,60106980,三峡水库,1718730000000,4,149.390
18200,15200,长江干流,60106980,三峡水库,1718733600000,4,149.360
18200,长江干流,60106980,三峡水库,1718737200000,4,149.320
18200,长江干流,60106980,三峡水库,1718740800000,5,149.330
18200,长江干流,60106980,三峡水库,1718744400000,4,149.290
18200,长江干流,60106980,三峡水库,1718748000000,6,149.290
18300,长江干流,60106980,三峡水库,1718751600000,4,149.260
18300,15200,长江干流,60106980,三峡水库,1718755200000,4,149.230
18300,长江干流,60106980,三峡水库,1718758800000,4,149.210
18300,长江干流,60106980,三峡水库,1718762400000,6,149.210
18300,长江干流,60106980,三峡水库,1718766000000,4,149.200
18300,长江干流,60106980,三峡水库,1718769600000,4,149.180
18300,长江干流,60106980,三峡水库,1718773200000,4,149.140
18300,15200,长江干流,60106980,三峡水库,1718776800000,4,149.130
18400,长江干流,60106980,三峡水库,1718780400000,4,149.110
18400,长江干流,60106980,三峡水库,1718784000000,6,149.110
18500,长江干流,60106980,三峡水库,1718787600000,4,149.090
18500,长江干流,60106980,三峡水库,1718791200000,4,149.080
18500,长江干流,60106980,三峡水库,1718794800000,4,149.040
18500,15300,长江干流,60106980,三峡水库,1718798400000,4,149.020
18500,长江干流,60106980,三峡水库,1718802000000,4,148.980
